Attachment GUID,Metadata Text,Collection Object GUID
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8e650-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8e8c8-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8eb4f-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8edcd-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8f049-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8f2bd-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8f52e-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8f7ad-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8fa26-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac2318-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac2639-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac2956-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac2c6e-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac2f84-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac3294-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac35a2-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac38b5-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac3bc5-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac3e4b-1ed3-11e3-bfac-90b11c41863e
812ecd96-af2d-4de8-a0ef-63c923bdb1ba,,dbac4342-1ed3-11e3-bfac-90b11c41863e
a0b0c8eb-a7fe-4d98-bed5-f5fc252e17e4,,dbac40c8-1ed3-11e3-bfac-90b11c41863e
a0b0c8eb-a7fe-4d98-bed5-f5fc252e17e4,,dbac49fb-1ed3-11e3-bfac-90b11c41863e
