"1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text2","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.moleculeType","1,99-leftsiderels,1-rightside,121-dnasequences,5-sequencer.dnasequence.sequencer"
5478f012-a0b5-11ed-803c-6c2b597b15e2,KC827028,myh6,"Broughton, Richard E"
5479c478-a0b5-11ed-803c-6c2b597b15e2,KC827733,Panx2,"Broughton, Richard E"
547bf3ac-a0b5-11ed-803c-6c2b597b15e2,KC828835,ripk4,"Carpenter, Kent E"
547d4473-a0b5-11ed-803c-6c2b597b15e2,KC829882,SH3PX3,"Carpenter, Kent E"
5486cc31-a0b5-11ed-803c-6c2b597b15e2,KM400884,ficd,"Campanella, Daniela"
5486cc78-a0b5-11ed-803c-6c2b597b15e2,KM401183,myh6,"Campanella, Daniela"
5486ccc1-a0b5-11ed-803c-6c2b597b15e2,KM400982,KBTBD4,"Campanella, Daniela"
5486cd0a-a0b5-11ed-803c-6c2b597b15e2,KM401082,kiaa1239,"Campanella, Daniela"
5486cd54-a0b5-11ed-803c-6c2b597b15e2,KM401370,SLC10A3,"Campanella, Daniela"
5486cd9c-a0b5-11ed-803c-6c2b597b15e2,KM401283,SH3PX3,"Campanella, Daniela"
