Collection Object GUID,Col Obj Attribute Size
dbd8cbcf-1ed3-11e3-bfac-90b11c41863e,53mm SL
dbd8cce0-1ed3-11e3-bfac-90b11c41863e,24-56mm SL
dbd8cdf0-1ed3-11e3-bfac-90b11c41863e,30-51mm SL
dbd8cefa-1ed3-11e3-bfac-90b11c41863e,44-60mm SL
dbd8d008-1ed3-11e3-bfac-90b11c41863e,31-90mm SL
dbd8d11b-1ed3-11e3-bfac-90b11c41863e,27-44mm SL
dbd8d229-1ed3-11e3-bfac-90b11c41863e,95mm SL
dbd8d331-1ed3-11e3-bfac-90b11c41863e,19-35mm SL
dbd8d518-1ed3-11e3-bfac-90b11c41863e,19-22mm SL
dbd8d639-1ed3-11e3-bfac-90b11c41863e,24mm SL
dbd8d749-1ed3-11e3-bfac-90b11c41863e,19-33mm SL
dbd8d965-1ed3-11e3-bfac-90b11c41863e,41-46mm SL
dbd8da6e-1ed3-11e3-bfac-90b11c41863e,30-38mm SL
dbd8db79-1ed3-11e3-bfac-90b11c41863e,42-55mm SL
dbd8dc82-1ed3-11e3-bfac-90b11c41863e,42mm SL
dbd8dd8e-1ed3-11e3-bfac-90b11c41863e,42-50mm SL
dbd8dfa6-1ed3-11e3-bfac-90b11c41863e,362-495mm SL
dbd8e0b3-1ed3-11e3-bfac-90b11c41863e,42-68mm SL
dbd8e1bd-1ed3-11e3-bfac-90b11c41863e,41-60mm SL
dbd8e2c5-1ed3-11e3-bfac-90b11c41863e,42-55mm SL
dbd8e3d2-1ed3-11e3-bfac-90b11c41863e,25-78mm SL
dbd8e4db-1ed3-11e3-bfac-90b11c41863e,25-44mm SL
dbd8e5e3-1ed3-11e3-bfac-90b11c41863e,48-56mm SL
dbd8e6e8-1ed3-11e3-bfac-90b11c41863e,73mm SL
dbd8e7f0-1ed3-11e3-bfac-90b11c41863e,64-99mm SL
dbd8e8f6-1ed3-11e3-bfac-90b11c41863e,105-110mm SL
dbd8e9fc-1ed3-11e3-bfac-90b11c41863e,68-76mm SL
dbd8eb04-1ed3-11e3-bfac-90b11c41863e,58-86mm SL
dbd8ed18-1ed3-11e3-bfac-90b11c41863e,15-133mm SL
dbd8ee21-1ed3-11e3-bfac-90b11c41863e,27-93mm SL
dbd8ef25-1ed3-11e3-bfac-90b11c41863e,29-65mm SL
dbd8f034-1ed3-11e3-bfac-90b11c41863e,22-70mm SL
dbd8f141-1ed3-11e3-bfac-90b11c41863e,29-51mm SL
dbd8f24f-1ed3-11e3-bfac-90b11c41863e,39-51mm SL
dbd8f359-1ed3-11e3-bfac-90b11c41863e,32-56mm SL
dbd8f464-1ed3-11e3-bfac-90b11c41863e,43-98mm SL
dbd8f56e-1ed3-11e3-bfac-90b11c41863e,28-75mm SL
dbd8f67e-1ed3-11e3-bfac-90b11c41863e,41-54mm SL
dbd8f7d5-1ed3-11e3-bfac-90b11c41863e,39-70mm SL
dbd8f91c-1ed3-11e3-bfac-90b11c41863e,107-126mm SL
dbd8fb19-1ed3-11e3-bfac-90b11c41863e,45mm SL
dbd8fc75-1ed3-11e3-bfac-90b11c41863e,42mm SL
dbd8fdc6-1ed3-11e3-bfac-90b11c41863e,44-45mm SL
dbd8ff1a-1ed3-11e3-bfac-90b11c41863e,22-45mm SL
dbd9006b-1ed3-11e3-bfac-90b11c41863e,104-111mm SL
dbd901b9-1ed3-11e3-bfac-90b11c41863e,48-123mm SL
dbd90307-1ed3-11e3-bfac-90b11c41863e,80-92mm SL
dbd90457-1ed3-11e3-bfac-90b11c41863e,206-283mm SL
dbd905a9-1ed3-11e3-bfac-90b11c41863e,115-133mm SL
dbd906f8-1ed3-11e3-bfac-90b11c41863e,32-116mm SL
dbd90846-1ed3-11e3-bfac-90b11c41863e,79-94mm SL
dbd90994-1ed3-11e3-bfac-90b11c41863e,39-69mm SL
dbd90c2f-1ed3-11e3-bfac-90b11c41863e,100-112mm SL
dbd90d79-1ed3-11e3-bfac-90b11c41863e,46-58mm SL
dbd90ebf-1ed3-11e3-bfac-90b11c41863e,39-71mm SL
dbd90fda-1ed3-11e3-bfac-90b11c41863e,39-89mm SL
dbd910e9-1ed3-11e3-bfac-90b11c41863e,36-101mm SL
dbd911f6-1ed3-11e3-bfac-90b11c41863e,45-50mm SL
dbd91304-1ed3-11e3-bfac-90b11c41863e,56mm SL
dbd9140f-1ed3-11e3-bfac-90b11c41863e,49-55mm SL
dbd9151d-1ed3-11e3-bfac-90b11c41863e,31-62mm SL
dbd9162c-1ed3-11e3-bfac-90b11c41863e,31-60mm SL
dbd91734-1ed3-11e3-bfac-90b11c41863e,34-93mm SL
dbd9183f-1ed3-11e3-bfac-90b11c41863e,28-100mm SL
dbd91948-1ed3-11e3-bfac-90b11c41863e,38-53mm SL
dbd91a51-1ed3-11e3-bfac-90b11c41863e,63-126mm SL
dbd91b5c-1ed3-11e3-bfac-90b11c41863e,182mm SL
dbd91c69-1ed3-11e3-bfac-90b11c41863e,51-53mm SL
dbd91d73-1ed3-11e3-bfac-90b11c41863e,65mm SL
dbd91e7f-1ed3-11e3-bfac-90b11c41863e,54mm SL
dbd91f89-1ed3-11e3-bfac-90b11c41863e,35-55mm SL
dbd92090-1ed3-11e3-bfac-90b11c41863e,48-50mm SL
dbd9219d-1ed3-11e3-bfac-90b11c41863e,59-68mm SL
dbd922a6-1ed3-11e3-bfac-90b11c41863e,46mm SL
dbd923ae-1ed3-11e3-bfac-90b11c41863e,33-44mm SL
dbd924b9-1ed3-11e3-bfac-90b11c41863e,32-59mm SL
dbd925c3-1ed3-11e3-bfac-90b11c41863e,26-85mm SL
dbd926c9-1ed3-11e3-bfac-90b11c41863e,60-71mm SL
dbd927d2-1ed3-11e3-bfac-90b11c41863e,104mm SL
dbd928d9-1ed3-11e3-bfac-90b11c41863e,28-59mm SL
dbd929ea-1ed3-11e3-bfac-90b11c41863e,54-108mm SL
dbd92aee-1ed3-11e3-bfac-90b11c41863e,45-67mm SL
dbd92bf7-1ed3-11e3-bfac-90b11c41863e,30-111mm SL
dbd92d01-1ed3-11e3-bfac-90b11c41863e,40-65mm SL
dbd92e0a-1ed3-11e3-bfac-90b11c41863e,55-67mm SL
dbd92f14-1ed3-11e3-bfac-90b11c41863e,48-127mm SL
