material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
cbad2442a3d6707c0e3d34ed08fbb3bdb49f90c8,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45969,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45969
61c41125aa38cc817283b596f07a91b5f1cf9ae5,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45970,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45970
9b26e337965fefdbfddf1f738b50035127a8a524,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45971,,Mario,MA,,,ECOSUR-SC:ECOAB:45971
3180380a26640e710d26067c1e7e95878449be5d,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45972,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45972
4e6a91b020ca50833c5eac2a81340db4474854d4,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45975,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45975
a3a2eb60b37e9dd72d30b71f49b2a78191936449,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45984,,César López,CL,,,ECOSUR-SC:ECOAB:45984
0acf6385f23bf718ff515ab80f1a9637c229b4dd,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45989,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45989
a6cf027b0e64cb54d9d9c058900212523c1f48d3,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45990,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45990
9304b21fae16bee106db893c29a3e0c6ade8bb6c,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45992,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45992
03d99a21115018675ed1b97aa31f46202a1e25c8,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46012,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:46012
4b88fcc1cbf139a2a13ca832799edcfd9494bd15,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46013,,Gonzalo Morales,GM,,,ECOSUR-SC:ECOAB:46013
93e8840a5845bc652ff472cde6b1a1e829ba94a1,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46014,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:46014
83ec02430d709412b3e70097a6be3866ae20e6b2,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46016,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:46016
5c3ecc42e5ed25d297308d9a6736c2af7822b01a,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46021,,Omar Argüello,OA,,,ECOSUR-SC:ECOAB:46021
9e75b9e8ea5923cdbf0d80edbedb931f04bc29c2,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46022,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:46022
fcfe2e99f8161cbc09e93847510a3b7b5b88c99a,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46026,,Omar Argüello,OA,,,ECOSUR-SC:ECOAB:46026
9c04769104d2589e974f04278699dcc4959c55ce,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46028,,Omar Argüello,OA,,,ECOSUR-SC:ECOAB:46028
b6cd5b24559e667c43f5c7bd9fbaf5123b6c5d2a,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46235,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:46235
51b19749425e3b99798d50efb5a21441346f0216,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46237,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:46237
59ea4783b53f02e3cade9f5d02706f60cc745f0c,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,4625,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:4625
321df4354bfbaa335f22bdb16fa9e05bc6d6e8cd,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,4626,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:4626
e8462c6e65fbaa51dc2f05dabdab93c6a09e9b27,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46306,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:46306
26b32d8ff5c85db9742939a95ef834e114e784d2,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46307,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:46307
a11f079fdef09bf1419d3987759c5ba068b69897,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46309,,César López,CL,,,ECOSUR-SC:ECOAB:46309
5cb60eca80fca1fa0ac488271d5f4c9e39fef508,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46314,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:46314
7f9f11b5f1f00499c4212cf8ed9194135c850ebc,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46316,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:46316
cb0534ca4c3df3438e04c93c94c5a446547e5284,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46317,,Marcos Hurtado,MH,,,ECOSUR-SC:ECOAB:46317
aa5f8f5cd1216d394f2be26ebb834e8f41ef4cb1,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46318,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:46318
86881323ee6b8dd92608269c5ab62fcfa3b6b3f7,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,46325,,César López,CL,,,ECOSUR-SC:ECOAB:46325
