identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
515c2a5f2dccda8b5fd37fd4d2d5c339a3872ffc,f7ef8dd223e461f9237eac8467d1d771fbadad49,features,A,,,Philippe Sagot,PS,,,,,,
d7da95097918a42c890651f950d39e60706b4def,c26cf57e6a220cee94691bccdd1eff9810058350,features,A,,,Philippe Sagot,PS,,,,,,
d83646178dece3e9815c3f2bdc2af9cdbf2aab5b,306a5bf46637955f3c4b6c34ab9ac08f19f83ac5,features,A,,,Philippe Sagot,PS,,,,,,
f37f9f82d450ef039bb86e1ff51f5ab04264e8c3,aaacb5bb3fa1418febde6289446912fc9061f1b8,features,A,,,Philippe Sagot,PS,,,,,,
c837df8a52a120ed3c65e43fdc7a0be0f8b69b90,6fd7d9a088fa11cddd5c13b78bf5b0a0e93f8e7a,features,A,,,Philippe Sagot,PS,,,,,,
ba09e2e626b360af09346751b24998d86f79d048,30e1493f9f10b02c75a71ca190d85a1efb12cebf,features,A,,,Jorge Mérida,JM,,,,,,
9f729353827e85752ae7b36c3d2777927ce8afe6,f5a469c9df06a45953776db4dd0432fd17e6b7bf,features,A,,,Philippe Sagot,PS,,,,,,
7fe1684a8f14b48c51d7a48ee165abeb38e8b678,eae9d4732346a42c23e08bf56906f502f561cac7,features,A,,,Jorge Mérida,JM,,,,,,
91c5fdb14c20a7f454ab21111fbf217e8454cb66,477094ff192040d0467ee19d4896c465923ca83c,features,A,,,Philippe Sagot,PS,,,,,,
5fea0e55387ec9752f89ed0c29d4563891ee03d3,9c90bc5da2d73b5d36aae8fd44b2112138f5e982,features,A,,,Philippe Sagot,PS,,,,,,
19b9aee3fcd9024d7fddebaeefad120ff4c0fe97,1ed1dcd75ff1e96fff92924b1f51cda6b687f259,features,A,,,Philippe Sagot,PS,,,,,,
9ddfdaef636ecb203fe90ea82e46f8b5de84ced9,5a43d1e39a10df677c10bf1af1c36106b5036906,features,A,,,Philippe Sagot,PS,,,,,,
b7eee8bbd31354107215c858192200bf38864ee2,995fe28d3fb6c1bc7afb4c5c2f457e45631b2b51,features,A,,,Philippe Sagot,PS,,,,,,
284bd79c2259da2bbc31dfc58cc8c45a1f1d0c93,b8786c98a76342b3f5af4eb625cd799fc8c94f82,features,A,,,Philippe Sagot,PS,,,,,,
0eb44cad7fb87dd152a92a20f2494164d11fda7c,ec43da5ae49f55f8e712bd1348c14fe01cb659e1,features,A,,,Philippe Sagot,PS,,,,,,
c6664ebb81dc927645d515492127c511d30c5006,fbaf1f799b9a490f4dd311fa3552c30e503db23a,features,A,,,Philippe Sagot,PS,,,,,,
aaab7c993fdd2072e063e488012e9e79f40f51d7,65c658c2e6143cb5573f26febc99c577e00a6122,features,A,,,Jorge Mérida,JM,,,,,,
2d452f6d2a21bc646071899e2199fa331a893843,5db7ddf3b6551d37a257b4164844dac0a4eca3fa,features,A,,,Philippe Sagot,PS,,,,,,
4755b4782486dd9a4380762c4cab50942ed6ec30,f84383cf7733905d07f77e9684d7e62a5f771bfe,features,A,,,Philippe Sagot,PS,,,,,,
c3cf52247c9a5e1550fa715c169beee3fcc45c55,afcc218908c6be879cbef73f09ee26825a875276,features,A,,,Philippe Sagot,PS,,,,,,
c971c1cbfaee26e8778711cc8309d3b1b76ce61a,2a7e5fe381cf39af4beeefd8cd89417f726e4927,features,A,,,Jorge Mérida,JM,,,,,,
45bb17fe0133ede4fa2edc5e6f0a7293c40a3ef1,b00799098cf6a07954ac566327907fe98276f5e0,features,A,,,Jorge Mérida,JM,,,,,,
8b70c98d53248cbcf520e474acd86f57daa43ad4,69a2ec3292540160314046817b906f1af49c8139,features,A,,,Philippe Sagot,PS,,,,,,
28f042fb1584023f931f52c67ca2f04a6aaf200d,85acb8b97dd28e142815e7771bc3b1a1d2e1cfc5,features,A,,,Jorge Mérida,JM,,,,,,
17b743f6d3bb93c9c3cc712639f236c5f92ca69c,74dfd1528a9d0a1c009b896da93d872431dec7c4,features,A,,,Jorge Mérida,JM,,,,,,
27bef7fc5e81880b36a27e1567db2a8115b11338,9cdd66d8be466d8fb6f0e8f48a01b8f3ebe548eb,features,A,,,Philippe Sagot,PS,,,,,,
