"georreference_id"	"location_id"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spacial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georreferenced_by"	"georreference_date"	"georreference_protocol"	"georreference_sources"	"georreference_remarks"	"preferred_spatial_representation"
e6047213a365887cc7243632d7e0ac27	"7b7ddcc7bc1280cd3e2bbc321da3721c"	14.9774997	-92.36083	WGS84	110.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
d2bf18cb546013f24c37cdcbded98c71	"4b419b4a42a2668c060e7cdace90a8c9"	19.7699997	-105.24778	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"3444c751132d3ec6b7243a6fbd9a911a"	a1855fda15257bc479f3d11bc0d9cff0	19.2813888	-98.1663888	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"65a714f1f090f646d9c2e5f0dd579747"	"46b9819ceea7ecd5e3150b586f92c235"	23.47444	-103.8816697	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"54fd4883c8115fcfc7d6b7a675dafcde"	"92ffe3e9d6ff9058918c8016c602091b"	21.98028	-98.9325	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
fcc582456c239ae8da0fef9a7947a292	"957038595ecbdf0d964e7c7c460dca01"	16.4722222	-92.4077777	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"00d42410d498ac43f4c262d3e1a7216e"	"4d41ec0d19d9b8f69aadc9d649abc76b"	17.0672197	-92.86083	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
f9479f96f2c7a236f17e74eb19733e30	"6fa417569c82001cb42fc539dad1133e"	17.4572197	-97.2249997	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"685978a04ccb3eefea8a2cc5746e1ba7"	"772a126e2b8af36c54de29fb95a7ac6a"	24.5674997	-99.54833	WGS84	50.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"94262c77327c5e038f6779fa3c8f9f02"	"76c8607ed5852fabfe5bd8cc1cfc8711"	19.5936105	-101.9680633	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
